idna_subject,checker_type,destination,tested_at
tikivn118.com,AVAILABILITY,origin.list,2023-03-06 06:32:10.680136
tindung-shinhan.com,AVAILABILITY,origin.list,2023-03-06 06:32:11.615336
tindung-vietcombank247.online,AVAILABILITY,origin.list,2023-03-06 06:32:11.898800
tikishop.shop,AVAILABILITY,origin.list,2023-03-06 06:32:12.536338
tindung-vietcombank.online,AVAILABILITY,origin.list,2023-03-06 06:32:13.012458
sukiengarenafreefire.tk,AVAILABILITY,origin.list,2023-03-06 06:32:13.301265
tindung-vpbank.online,AVAILABILITY,origin.list,2023-03-06 06:32:13.910725
tindung-online.com,AVAILABILITY,origin.list,2023-03-06 06:32:14.597492
tiki94.com,AVAILABILITY,origin.list,2023-03-06 06:32:15.439968
sukienpubg-thang6.tk,AVAILABILITY,origin.list,2023-03-06 06:32:15.595007
tindung24h-vietcombank.online,AVAILABILITY,origin.list,2023-03-06 06:32:16.000474
tindungnganhang-vietnam247.online,AVAILABILITY,origin.list,2023-03-06 06:32:16.814272
tindungnganhang-vietnam365.online,AVAILABILITY,origin.list,2023-03-06 06:32:17.014141
tikivn558.com,AVAILABILITY,origin.list,2023-03-06 06:32:17.752076
tindungtechcombank247.online,AVAILABILITY,origin.list,2023-03-06 06:32:18.610103
tikivn668.com,AVAILABILITY,origin.list,2023-03-06 06:32:18.643811
tpbank-hanoi.com,AVAILABILITY,origin.list,2023-03-06 06:32:19.236986
trang-chu-vn.com,AVAILABILITY,origin.list,2023-03-06 06:32:19.887557
tindung188.com,AVAILABILITY,origin.list,2023-03-06 06:32:20.176690
tindungshinhanbank.com,AVAILABILITY,origin.list,2023-03-06 06:32:20.913811
taikhoan-garena-vn.tk,AVAILABILITY,origin.list,2023-03-06 06:32:21.461243
tindungnganhang.biz,AVAILABILITY,origin.list,2023-03-06 06:32:21.711150
tinchapvietcombank24h.com,AVAILABILITY,origin.list,2023-03-06 06:32:21.844730
tindung-vietcombank.info,AVAILABILITY,origin.list,2023-03-06 06:32:22.794867
tindungvietcombank.net,AVAILABILITY,origin.list,2023-03-06 06:32:23.284343
tindungtechcombank.online,AVAILABILITY,origin.list,2023-03-06 06:32:23.547091
tinlequa365.com,AVAILABILITY,origin.list,2023-03-06 06:32:23.653669
tinthuongvang2021.com,AVAILABILITY,origin.list,2023-03-06 06:32:24.441162
tinthuongvietvn.com,AVAILABILITY,origin.list,2023-03-06 06:32:24.825118
trangnapthelienquan.com,AVAILABILITY,origin.list,2023-03-06 06:32:25.213336
tranphongnam.tangtuongtac.work,AVAILABILITY,origin.list,2023-03-06 06:32:25.488127
tinsukien2021vn.com,AVAILABILITY,origin.list,2023-03-06 06:32:26.041268
traderviet88.com,AVAILABILITY,origin.list,2023-03-06 06:32:26.607126
trangthaithe247.com,AVAILABILITY,origin.list,2023-03-06 06:32:26.826680
lienquan-vgarena.vn,AVAILABILITY,origin.list,2023-03-06 06:32:27.479172
traothuongxe7.com,AVAILABILITY,origin.list,2023-03-06 06:32:27.723597
tracuugplx.vn,AVAILABILITY,origin.list,2023-03-06 06:32:27.880154
trianfreefirevietnam.com,AVAILABILITY,origin.list,2023-03-06 06:32:28.168508
tranggiaivangvn.com,AVAILABILITY,origin.list,2023-03-06 06:32:28.374163
trungtam-cskh-vipham.com,AVAILABILITY,origin.list,2023-03-06 06:32:29.008004
trianlienquanvn2021.com,AVAILABILITY,origin.list,2023-03-06 06:32:29.179802
trangqua696.com,AVAILABILITY,origin.list,2023-03-06 06:32:29.530537
vay-vietcombank.biz,AVAILABILITY,origin.list,2023-03-06 06:32:29.758072
trangtrian2021.com,AVAILABILITY,origin.list,2023-03-06 06:32:29.766222
trian-pubgmbvng.com,AVAILABILITY,origin.list,2023-03-06 06:32:30.402702
traoquatangshopee.com,AVAILABILITY,origin.list,2023-03-06 06:32:30.621630
trungtam-baohanhdienmayxanh.com,AVAILABILITY,origin.list,2023-03-06 06:32:30.811971
vay-tpbank.site,AVAILABILITY,origin.list,2023-03-06 06:32:31.234199
traothuongxe37.com,AVAILABILITY,origin.list,2023-03-06 06:32:31.292473
trianquagarrena.com,AVAILABILITY,origin.list,2023-03-06 06:32:31.882443
vaynhanh-techcombank.com,AVAILABILITY,origin.list,2023-03-06 06:32:31.892914
trianlienquan2.club,AVAILABILITY,origin.list,2023-03-06 06:32:32.526089
triangamethulienquan.com,AVAILABILITY,origin.list,2023-03-06 06:32:32.873653
trumvang68.net,AVAILABILITY,origin.list,2023-03-06 06:32:33.164752
vaynganhang-techcombank.xyz,AVAILABILITY,origin.list,2023-03-06 06:32:33.304964
uyban.club,AVAILABILITY,origin.list,2023-03-06 06:32:33.523345
trianqua4052.com,AVAILABILITY,origin.list,2023-03-06 06:32:34.073807
vaytheoluong-vietcombank24h.biz,AVAILABILITY,origin.list,2023-03-06 06:32:34.713218
tuanlocvang123.com,AVAILABILITY,origin.list,2023-03-06 06:32:34.793551
trangchusukien.vn,AVAILABILITY,origin.list,2023-03-06 06:32:35.096669
trungquatang.vn,AVAILABILITY,origin.list,2023-03-06 06:32:35.703302
vanmaymm24h.com,AVAILABILITY,origin.list,2023-03-06 06:32:35.919264
vay.nhanh.24h.ubte6.com,AVAILABILITY,origin.list,2023-03-06 06:32:36.351977
vaytheoluong-techcombank360.online,AVAILABILITY,origin.list,2023-03-06 06:32:36.417011
vaytien-techcombank.online,AVAILABILITY,origin.list,2023-03-06 06:32:36.587554
vaynganhangagribank.xyz,AVAILABILITY,origin.list,2023-03-06 06:32:37.479976
vay247nhanh.com,AVAILABILITY,origin.list,2023-03-06 06:32:42.573148
vaytien-sacombank.xyz,AVAILABILITY,origin.list,2023-03-06 06:32:52.594706
vaytieudung-vietinbank.com,AVAILABILITY,origin.list,2023-03-06 06:33:01.687069
vaynganhangshinhan.online,AVAILABILITY,origin.list,2023-03-06 06:33:02.722736
vaytiennhanh-shinhan.com,AVAILABILITY,origin.list,2023-03-06 06:33:43.097671
