subject,idna_subject,expiration_date,epoch,registrar
airoboteth.vip,airoboteth.vip,14-aug-2026,1786665600.0,"GoDaddy.com, LLC"
btcsender.cloud,btcsender.cloud,28-nov-2026,1795824000.0,Gname.com Pte. Ltd.
evit.im,evit.im,26-nov-2026,1795651200.0,
fe-shop.cc,fe-shop.cc,29-jun-2026,1782691200.0,Dynadot Inc
fiinvesok.vip,fiinvesok.vip,09-dec-2026,1796774400.0,Gname.com Pte. Ltd.
hotro.asia,hotro.asia,24-jun-2026,1782259200.0,"Name.com, Inc."
imperial-oil.ca,imperial-oil.ca,18-sep-2026,1789689600.0,8648255 CANADA LTD. O/A Dynadot LLC
ketban.online,ketban.online,15-dec-2026,1797292800.0,"HOSTINGER operations, UAB"
lazada.website,lazada.website,10-may-2026,1778371200.0,"Porkbun, LLC"
lulu-shop.vip,lulu-shop.vip,10-oct-2026,1791590400.0,Gname.com Pte. Ltd.
meetamate.site,meetamate.site,15-jun-2026,1781481600.0,URL Solutions Inc.
nhanqua.online,nhanqua.online,15-jul-2026,1784073600.0,Namecheap
paypquan.vip,paypquan.vip,07-dec-2026,1796601600.0,Gname.com Pte. Ltd.
policeonline.club,policeonline.club,07-sep-2026,1788739200.0,Sav.com LLC
profileid.site,profileid.site,21-jan-2027,1800489600.0,"GMO Internet Group, Inc. d/b/a Onamae.com"
shopeec.xyz,shopeec.xyz,08-jan-2027,1799366400.0,NAMEMART PTE. LTD.
sukienvongquay.site,sukienvongquay.site,25-oct-2026,1792886400.0,"HOSTINGER operations, UAB"
tinhot24h.website,tinhot24h.website,25-jul-2026,1784937600.0,Nhan Hoa Software Company Ltd
tw-shopee.xyz,tw-shopee.xyz,25-jun-2026,1782345600.0,NAMEMART LIMITED
upliftrenewables.cc,upliftrenewables.cc,30-nov-2026,1795996800.0,Gname.com Pte. Ltd.
gmshopping.shop,gmshopping.shop,30-nov-2026,1795996800.0,GNAME.COM PTE. LTD.
momogift.asia,momogift.asia,24-jun-2026,1782259200.0,"GMO Internet Group, Inc. d/b/a Onamae.com"
tongdaicaptruyenhinh.online,tongdaicaptruyenhinh.online,03-mar-2027,1804032000.0,"GMO Internet Group, Inc. d/b/a Onamae.com"
lelong.shop,lelong.shop,25-aug-2026,1787616000.0,"HOSTINGER operations, UAB"
youku.vc,youku.vc,16-nov-2026,1794787200.0,GNAME.COM PTE. LTD.
go-livanova.cyou,go-livanova.cyou,01-nov-2026,1793491200.0,"NameSilo, LLC"
chovaynhanh.online,chovaynhanh.online,26-feb-2027,1803600000.0,"Porkbun, LLC"
pi81.shop,pi81.shop,14-sep-2026,1789344000.0,"HOSTINGER operations, UAB"
lienquanmobile.shop,lienquanmobile.shop,30-may-2026,1780099200.0,"Spaceship, Inc."
i-j.site,i-j.site,04-feb-2027,1801699200.0,"NameCheap, Inc."
8866-ctgl.cc,8866-ctgl.cc,22-nov-2026,1795305600.0,Gname.com Pte. Ltd.
clmm.win,clmm.win,29-mar-2027,1806278400.0,"GoDaddy.com, LLC"
youtuber-cash.buzz,youtuber-cash.buzz,11-nov-2026,1794355200.0,Dynadot Inc
tintucnhanh.online,tintucnhanh.online,10-nov-2026,1794268800.0,Dynadot Inc
bcmoney.xyz,bcmoney.xyz,04-aug-2026,1785801600.0,Dynadot LLC
gamedoithuong.vip,gamedoithuong.vip,20-jun-2027,1813449600.0,"GoDaddy.com, LLC"
me-fb.site,me-fb.site,29-jun-2026,1782691200.0,VIRTUA DRUG Kutatási Szolgáltató Korlátolt Felelősségű Társaság
tinnong.xyz,tinnong.xyz,09-oct-2026,1791504000.0,Communigal Communications Ltd
wmail-cdn.xyz,wmail-cdn.xyz,29-mar-2027,1806278400.0,Tucows.com Co.
vietthanh.xyz,vietthanh.xyz,17-mar-2027,1805241600.0,Namecheap
vietcombank.one,vietcombank.one,07-jan-2027,1799280000.0,Gname.com Pte. Ltd.
muabanhanh.io,muabanhanh.io,12-apr-2027,1807488000.0,"Spaceship, Inc."
file-store4.xyz,file-store4.xyz,21-apr-2027,1808265600.0,Namecheap
momo.wiki,momo.wiki,01-oct-2026,1790812800.0,Alibaba Cloud Computing Ltd. d/b/a HiChina (www.net.cn)
govn.cc,govn.cc,06-sep-2026,1788652800.0,"HOSTINGER operations, UAB"
ahoravideo-schnellvpn.xyz,ahoravideo-schnellvpn.xyz,01-may-2027,1809129600.0,Dynadot LLC
nhan.design,nhan.design,09-sep-2026,1788912000.0,Tucows Domains Inc.
eximbank.xyz,eximbank.xyz,05-may-2027,1809475200.0,Dynadot LLC
