idna_subject,checker_type,destination,source,tested_at,session_id
66mh.shop,AVAILABILITY,origin.list,origin.list,2026-09-21 20:39:26.797688+00:00,d412ce4ded57938a435be4de
8866-ctgl.cc,AVAILABILITY,origin.list,origin.list,2026-09-21 20:39:26.917916+00:00,d412ce4ded57938a435be4de
9595-aogl.cc,AVAILABILITY,origin.list,origin.list,2026-09-21 20:39:33.506012+00:00,d412ce4ded57938a435be4de
free-4paid.com,AVAILABILITY,origin.list,origin.list,2026-09-21 20:39:34.296187+00:00,d412ce4ded57938a435be4de
bcmoney.xyz,AVAILABILITY,origin.list,origin.list,2026-09-21 20:39:57.789429+00:00,d412ce4ded57938a435be4de
btcsender.cloud,AVAILABILITY,origin.list,origin.list,2026-09-21 20:40:03.803475+00:00,d412ce4ded57938a435be4de
chovaynhanh.online,AVAILABILITY,origin.list,origin.list,2026-09-21 20:40:14.010775+00:00,d412ce4ded57938a435be4de
chuyen.net,AVAILABILITY,origin.list,origin.list,2026-09-21 20:40:14.678386+00:00,d412ce4ded57938a435be4de
evit.im,AVAILABILITY,origin.list,origin.list,2026-09-21 20:40:52.492849+00:00,d412ce4ded57938a435be4de
fiinvesok.vip,AVAILABILITY,origin.list,origin.list,2026-09-21 20:41:02.705900+00:00,d412ce4ded57938a435be4de
file-store4.xyz,AVAILABILITY,origin.list,origin.list,2026-09-21 20:41:02.807190+00:00,d412ce4ded57938a435be4de
go-livanova.cyou,AVAILABILITY,origin.list,origin.list,2026-09-21 20:41:24.660377+00:00,d412ce4ded57938a435be4de
hocbongtienganh.com,AVAILABILITY,origin.list,origin.list,2026-09-21 20:41:38.744599+00:00,d412ce4ded57938a435be4de
hotrovay.online,AVAILABILITY,origin.list,origin.list,2026-09-21 20:41:45.115182+00:00,d412ce4ded57938a435be4de
i-j.site,AVAILABILITY,origin.list,origin.list,2026-09-21 20:41:50.428798+00:00,d412ce4ded57938a435be4de
junoshop.online,AVAILABILITY,origin.list,origin.list,2026-09-21 20:42:01.460708+00:00,d412ce4ded57938a435be4de
lazada.website,AVAILABILITY,origin.list,origin.list,2026-09-21 20:42:14.740586+00:00,d412ce4ded57938a435be4de
ladyvietnam.online,AVAILABILITY,origin.list,origin.list,2026-09-21 20:42:16.008640+00:00,d412ce4ded57938a435be4de
ledger-lives-desktop.io,AVAILABILITY,origin.list,origin.list,2026-09-21 20:42:31.003128+00:00,d412ce4ded57938a435be4de
lulu-shop.vip,AVAILABILITY,origin.list,origin.list,2026-09-21 20:42:41.757914+00:00,d412ce4ded57938a435be4de
momogift.asia,AVAILABILITY,origin.list,origin.list,2026-09-21 20:43:03.043158+00:00,d412ce4ded57938a435be4de
muanickgiare.com,AVAILABILITY,origin.list,origin.list,2026-09-21 20:43:15.312425+00:00,d412ce4ded57938a435be4de
nap-the.vn,AVAILABILITY,origin.list,origin.list,2026-09-21 20:43:24.662014+00:00,d412ce4ded57938a435be4de
napkimcuong.site,AVAILABILITY,origin.list,origin.list,2026-09-21 20:43:29.915927+00:00,d412ce4ded57938a435be4de
napkimcuongfreefire.site,AVAILABILITY,origin.list,origin.list,2026-09-21 20:43:31.708045+00:00,d412ce4ded57938a435be4de
napthevn.online,AVAILABILITY,origin.list,origin.list,2026-09-21 20:43:43.277146+00:00,d412ce4ded57938a435be4de
nhanqua.online,AVAILABILITY,origin.list,origin.list,2026-09-21 20:43:54.011297+00:00,d412ce4ded57938a435be4de
omtrack.buzz,AVAILABILITY,origin.list,origin.list,2026-09-21 20:44:02.479444+00:00,d412ce4ded57938a435be4de
paypquan.vip,AVAILABILITY,origin.list,origin.list,2026-09-21 20:44:08.816571+00:00,d412ce4ded57938a435be4de
phanmem333.com,AVAILABILITY,origin.list,origin.list,2026-09-21 20:44:09.418950+00:00,d412ce4ded57938a435be4de
profileid.site,AVAILABILITY,origin.list,origin.list,2026-09-21 20:44:20.641326+00:00,d412ce4ded57938a435be4de
shopeec.xyz,AVAILABILITY,origin.list,origin.list,2026-09-21 20:45:05.707898+00:00,d412ce4ded57938a435be4de
shopgamelq.com,AVAILABILITY,origin.list,origin.list,2026-09-21 20:45:15.971981+00:00,d412ce4ded57938a435be4de
tinhot24h.website,AVAILABILITY,origin.list,origin.list,2026-09-21 20:46:25.977935+00:00,d412ce4ded57938a435be4de
track-ec.xyz,AVAILABILITY,origin.list,origin.list,2026-09-21 20:46:35.162948+00:00,d412ce4ded57938a435be4de
track-ecpost.xyz,AVAILABILITY,origin.list,origin.list,2026-09-21 20:46:35.707929+00:00,d412ce4ded57938a435be4de
trackpost.autos,AVAILABILITY,origin.list,origin.list,2026-09-21 20:46:41.522497+00:00,d412ce4ded57938a435be4de
trackpost.buzz,AVAILABILITY,origin.list,origin.list,2026-09-21 20:46:42.577871+00:00,d412ce4ded57938a435be4de
tw-shopee.xyz,AVAILABILITY,origin.list,origin.list,2026-09-21 20:46:59.552383+00:00,d412ce4ded57938a435be4de
unixfilesystem2.xyz,AVAILABILITY,origin.list,origin.list,2026-09-21 20:47:01.752755+00:00,d412ce4ded57938a435be4de
upliftrenewables.cc,AVAILABILITY,origin.list,origin.list,2026-09-21 20:47:06.298969+00:00,d412ce4ded57938a435be4de
vietcombank.one,AVAILABILITY,origin.list,origin.list,2026-09-21 20:47:39.715398+00:00,d412ce4ded57938a435be4de
vietinbank.cc,AVAILABILITY,origin.list,origin.list,2026-09-21 20:47:47.357766+00:00,d412ce4ded57938a435be4de
vietthanh.xyz,AVAILABILITY,origin.list,origin.list,2026-09-21 20:47:56.933237+00:00,d412ce4ded57938a435be4de
